NAME,S1501_C01_001E: Population 18 to 24 years,S1501_C01_002E: Population 18 to 24 years - Less than high school graduate,S1501_C01_003E: Population 18 to 24 years - High school graduate (includes equivalency),S1501_C01_004E: Population 18 to 24 years - Some college or associate's degree,S1501_C01_005E: Population 18 to 24 years - Bachelor's degree or higher,S1501_C01_006E: Population 25 years and over,S1501_C01_007E: Population 25 years and over - Less than 9th grade,"S1501_C01_008E: Population 25 years and over - 9th to 12th grade, no diploma",S1501_C01_009E: Population 25 years and over - High school graduate (includes equivalency),"S1501_C01_010E: Population 25 years and over - Some college, no degree",S1501_C01_011E: Population 25 years and over - Associate's degree,S1501_C01_012E: Population 25 years and over - Bachelor's degree,S1501_C01_013E: Population 25 years and over - Graduate or professional degree,S1501_C01_014E: Population 25 years and over - High school graduate or higher,S1501_C01_015E: Population 25 years and over - Bachelor's degree or higher,S1501_C01_059E: Population 25 years and over with earnings,S1501_C01_060E: Population 25 years and over with earnings - Less than high school graduate,S1501_C01_061E: Population 25 years and over with earnings - High school graduate (includes equivalency),S1501_C01_062E: Population 25 years and over with earnings - Some college or associate's degree,S1501_C01_063E: Population 25 years and over with earnings - Bachelor's degree,S1501_C01_064E: Population 25 years and over with earnings - Graduate or professional degree,state,county,tract,B01003_001E: Total Population,B11005_001E: Total Households,B11005_002E: Households with one or more people under 18 years,B11005_012E: Family households without people under 18 years,B11005_017E: Nonfamily households without people under 18 years,B06010_002E: No income,B06010_003E: With income,"B06010_004E: $1 to $9,999 or loss","B06010_005E: $10,000 to $14,999","B06010_006E: $15,000 to $24,999","B06010_007E: $25,000 to $34,999","B06010_008E: $35,000 to $49,999","B06010_009E: $50,000 to $64,999","B06010_010E: $65,000 to $74,999","B06010_011E: $75,000 or more",STATEFP,COUNTYFP,TRACTCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,unique_id,unique_id2,unique_id3,unique_id4,County,Tract & County,WF_Present,lat,long
"Census Tract 1407.01, Cuyahoga County, Ohio",283,26,11,233,13,1355,3,105,204,358,77,207,401,1247,608,40643,11625,29792,29333,49250,44926,39,035,140701,2139,849,265,294,290,129,1558,336,187,168,266,196,159,64,182,39.0,35.0,140701.0,39035140701.0,Census Tract 1407.01,G5020,S,1058287.0,0.0,41.5139125,-81.5611598,035_140701,35_140701,,35_140701,Cuyahoga County,"Census Tract 1407.01, Cuyahoga County, Ohio",1.0,41.513913,-81.56116
"Census Tract 1407.02, Cuyahoga County, Ohio",124,14,65,19,26,1159,87,104,219,190,133,362,64,968,426,28151,57339,0,27639,0,0,39,035,140702,2052,793,313,131,349,270,1211,308,185,134,102,171,79,5,227,39.0,35.0,140702.0,39035140702.0,Census Tract 1407.02,G5020,S,669112.0,0.0,41.5050563,-81.5607959,035_140702,35_140702,,35_140702,Cuyahoga County,"Census Tract 1407.02, Cuyahoga County, Ohio",1.0,41.505056,-81.560796
"Census Tract 1408, Cuyahoga County, Ohio",282,18,66,60,138,2343,4,51,408,372,158,476,874,2288,1350,38542,0,25789,32557,41641,52604,39,035,140800,3492,1615,295,389,931,318,2417,592,182,396,341,257,362,29,258,39.0,35.0,140800.0,39035140800.0,Census Tract 1408,G5020,S,1900625.0,0.0,41.5152847,-81.5460561,035_140800,35_140800,,35_140800,Cuyahoga County,"Census Tract 1408, Cuyahoga County, Ohio",1.0,41.515285,-81.546056
"Census Tract 1409, Cuyahoga County, Ohio",119,4,35,55,25,1394,4,31,271,348,172,270,298,1359,568,32094,0,31250,30720,43438,36500,39,035,140900,1982,817,217,294,306,119,1432,231,87,233,228,267,134,44,208,39.0,35.0,140900.0,39035140900.0,Census Tract 1409,G5020,S,686813.0,0.0,41.5068084,-81.5502887,035_140900,35_140900,,35_140900,Cuyahoga County,"Census Tract 1409, Cuyahoga County, Ohio",1.0,41.506808,-81.550289
"Census Tract 1410, Cuyahoga County, Ohio",139,27,15,37,60,414,5,33,37,123,52,55,109,376,164,24286,0,25417,23083,18036,33558,39,035,141000,696,373,62,26,285,37,533,100,69,127,91,62,79,0,5,39.0,35.0,141000.0,39035141000.0,Census Tract 1410,G5020,S,806905.0,0.0,41.5130734,-81.5843041,035_141000,35_141000,,35_141000,Cuyahoga County,"Census Tract 1410, Cuyahoga County, Ohio",1.0,41.513073,-81.584304
"Census Tract 1411, Cuyahoga County, Ohio",903,74,111,234,484,2530,2,70,246,306,65,938,903,2458,1841,51572,0,52500,42804,51806,54318,39,035,141100,3744,2182,124,333,1725,535,2934,676,186,287,358,353,384,195,495,39.0,35.0,141100.0,39035141100.0,Census Tract 1411,G5020,S,1063951.0,0.0,41.5083117,-81.5837144,035_141100,35_141100,,35_141100,Cuyahoga County,"Census Tract 1411, Cuyahoga County, Ohio",1.0,41.508311,-81.583714
"Census Tract 1412, Cuyahoga County, Ohio",221,5,19,85,112,2217,0,0,121,214,32,619,1231,2217,1850,56185,0,0,0,56528,58816,39,035,141200,2875,1503,256,402,845,382,2158,187,157,211,115,324,334,158,672,39.0,35.0,141200.0,39035141200.0,Census Tract 1412,G5020,S,1347695.0,0.0,41.504192,-81.5810693,035_141200,35_141200,,35_141200,Cuyahoga County,"Census Tract 1412, Cuyahoga County, Ohio",1.0,41.504192,-81.581069
"Census Tract 1413, Cuyahoga County, Ohio",1067,30,316,541,180,2126,17,14,39,121,29,427,1479,2095,1906,56458,0,0,18750,58516,61447,39,035,141300,3491,920,161,335,424,355,2889,777,827,182,249,130,155,88,481,39.0,35.0,141300.0,39035141300.0,Census Tract 1413,G5020,S,1518785.0,34045.0,41.4957758,-81.5897993,035_141300,35_141300,,35_141300,Cuyahoga County,"Census Tract 1413, Cuyahoga County, Ohio",1.0,41.494818,-81.590217
"Census Tract 1414, Cuyahoga County, Ohio",208,15,37,24,132,1772,13,16,96,168,50,459,970,1743,1429,76250,0,0,0,57031,91641,39,035,141400,2502,927,249,388,290,270,1776,256,70,149,155,186,153,90,717,39.0,35.0,141400.0,39035141400.0,Census Tract 1414,G5020,S,1509027.0,0.0,41.4966108,-81.5786352,035_141400,35_141400,,35_141400,Cuyahoga County,"Census Tract 1414, Cuyahoga County, Ohio",1.0,41.496611,-81.578635
"Census Tract 1415, Cuyahoga County, Ohio",132,0,63,44,25,1200,5,16,69,165,50,366,529,1179,895,65243,0,0,32159,52350,100243,39,035,141500,1599,749,151,299,299,130,1274,118,143,172,77,107,124,64,469,39.0,35.0,141500.0,39035141500.0,Census Tract 1415,G5020,S,964052.0,1705.0,41.4913187,-81.5680588,035_141500,35_141500,,35_141500,Cuyahoga County,"Census Tract 1415, Cuyahoga County, Ohio",1.0,41.491992,-81.568394
"Census Tract 1416.01, Cuyahoga County, Ohio",53,0,10,10,33,1079,0,7,22,109,22,376,543,1072,919,54756,0,0,40208,48438,66250,39,035,141601,1463,639,208,182,249,74,1075,76,69,87,109,191,83,88,372,39.0,35.0,141601.0,39035141601.0,Census Tract 1416.01,G5020,S,939739.0,11203.0,41.4880828,-81.5606183,035_141601,35_141601,,35_141601,Cuyahoga County,"Census Tract 1416.01, Cuyahoga County, Ohio",1.0,41.48941,-81.560498
"Census Tract 1416.02, Cuyahoga County, Ohio",87,2,34,13,38,1025,5,96,222,147,100,231,224,924,455,46515,0,14750,43333,53523,54911,39,035,141602,1433,580,186,186,208,99,1051,192,119,95,95,152,110,64,224,39.0,35.0,141602.0,39035141602.0,Census Tract 1416.02,G5020,S,520524.0,0.0,41.4982512,-81.5606625,035_141602,35_141602,,35_141602,Cuyahoga County,"Census Tract 1416.02, Cuyahoga County, Ohio",1.0,41.498251,-81.560662
"Census Tract 1417, Cuyahoga County, Ohio",77,12,17,16,32,1104,0,7,97,133,104,400,363,1097,763,56139,0,25739,34205,86538,55227,39,035,141700,1439,613,167,249,197,76,1138,108,58,111,170,123,130,53,385,39.0,35.0,141700.0,39035141700.0,Census Tract 1417,G5020,S,780674.0,0.0,41.4905505,-81.5531111,035_141700,35_141700,,35_141700,Cuyahoga County,"Census Tract 1417, Cuyahoga County, Ohio",1.0,41.490551,-81.553111
"Census Tract 1501, Cuyahoga County, Ohio",218,53,16,149,0,1500,36,121,689,495,33,91,35,1343,126,16025,0,16429,16250,2499,0,39,035,150100,2062,1071,224,301,546,248,1498,361,265,448,198,122,51,0,53,39.0,35.0,150100.0,39035150100.0,Census Tract 1501,G5020,S,877823.0,0.0,41.5419393,-81.5823049,035_150100,35_150100,,35_150100,Cuyahoga County,"Census Tract 1501, Cuyahoga County, Ohio",1.0,41.541939,-81.582305
"Census Tract 1503, Cuyahoga County, Ohio",211,153,50,8,0,669,5,134,276,146,62,23,23,530,46,23086,14821,0,32292,0,0,39,035,150300,1111,498,200,125,173,76,817,301,111,148,92,117,42,6,0,39.0,35.0,150300.0,39035150300.0,Census Tract 1503,G5020,S,539598.0,0.0,41.53453,-81.5887436,035_150300,35_150300,,35_150300,Cuyahoga County,"Census Tract 1503, Cuyahoga County, Ohio",1.0,41.53453,-81.588744
"Census Tract 1504, Cuyahoga County, Ohio",160,49,82,29,0,777,131,126,231,160,4,77,48,520,125,29726,16500,32143,0,33393,0,39,035,150400,1670,530,280,74,176,155,794,126,100,217,105,149,68,0,29,39.0,35.0,150400.0,39035150400.0,Census Tract 1504,G5020,S,421611.0,0.0,41.5364212,-81.5832137,035_150400,35_150400,,35_150400,Cuyahoga County,"Census Tract 1504, Cuyahoga County, Ohio",1.0,41.536421,-81.583214
"Census Tract 1512, Cuyahoga County, Ohio",130,42,22,66,0,1391,4,131,478,485,157,114,22,1256,136,18712,22500,16727,19356,0,0,39,035,151200,1835,1214,202,92,920,192,1395,378,290,302,253,119,13,34,6,39.0,35.0,151200.0,39035151200.0,Census Tract 1512,G5020,S,818940.0,679.0,41.5418886,-81.560808,035_151200,35_151200,,35_151200,Cuyahoga County,"Census Tract 1512, Cuyahoga County, Ohio",1.0,41.54073,-81.562047
"Census Tract 1513, Cuyahoga County, Ohio",24,13,0,11,0,1737,57,236,443,486,111,237,167,1444,404,27163,0,0,35203,46307,0,39,035,151300,2035,1139,145,220,774,223,1596,427,235,315,144,247,76,33,119,39.0,35.0,151300.0,39035151300.0,Census Tract 1513,G5020,S,1414338.0,18728.0,41.5270157,-81.5725255,035_151300,35_151300,,35_151300,Cuyahoga County,"Census Tract 1513, Cuyahoga County, Ohio",1.0,41.528387,-81.572441
"Census Tract 1515, Cuyahoga County, Ohio",83,19,64,0,0,773,16,144,310,213,43,42,5,613,47,21310,70667,0,22381,3911,0,39,035,151500,1051,446,120,127,199,120,779,181,199,164,108,53,4,30,40,39.0,35.0,151500.0,39035151500.0,Census Tract 1515,G5020,S,663975.0,0.0,41.526678,-81.5862247,035_151500,35_151500,,35_151500,Cuyahoga County,"Census Tract 1515, Cuyahoga County, Ohio",1.0,41.526678,-81.586225
"Census Tract 1516, Cuyahoga County, Ohio",332,9,145,63,115,999,30,92,405,83,120,222,47,877,269,26037,0,26429,31000,25032,0,39,035,151600,1991,989,337,107,545,171,1176,321,66,329,230,188,12,15,15,39.0,35.0,151600.0,39035151600.0,Census Tract 1516,G5020,S,881790.0,0.0,41.5191062,-81.5816661,035_151600,35_151600,,35_151600,Cuyahoga County,"Census Tract 1516, Cuyahoga County, Ohio",1.0,41.519106,-81.581666
"Census Tract 1517, Cuyahoga County, Ohio",74,7,57,2,8,834,90,38,213,269,31,46,147,706,193,57955,0,17292,75295,0,70865,39,035,151700,1251,460,182,84,194,89,848,148,136,190,48,75,26,0,225,39.0,35.0,151700.0,39035151700.0,Census Tract 1517,G5020,S,493920.0,0.0,41.5193976,-81.5923692,035_151700,35_151700,,35_151700,Cuyahoga County,"Census Tract 1517, Cuyahoga County, Ohio",1.0,41.519398,-81.592369
"Census Tract 1518, Cuyahoga County, Ohio",70,25,36,0,9,1165,24,172,607,244,20,72,26,969,98,25756,0,26186,26964,0,0,39,035,151800,1818,759,335,90,334,184,1171,359,146,237,177,77,0,25,150,39.0,35.0,151800.0,39035151800.0,Census Tract 1518,G5020,S,590878.0,0.0,41.5255727,-81.595181,035_151800,35_151800,,35_151800,Cuyahoga County,"Census Tract 1518, Cuyahoga County, Ohio",1.0,41.525573,-81.595181
"Census Tract 1521.01, Cuyahoga County, Ohio",148,0,95,26,27,1840,87,100,353,535,129,382,254,1653,636,51696,0,48024,39792,62188,91406,39,035,152101,2272,948,170,547,231,171,1860,276,213,180,108,330,294,113,346,,,,,,,,,,,,,,,,,,,,
"Census Tract 1521.02, Cuyahoga County, Ohio",197,15,112,53,17,2789,97,124,961,810,196,358,243,2568,601,43044,26940,42125,40929,44858,70508,39,035,152102,3836,1833,464,404,965,357,2784,229,282,384,442,711,265,118,353,,,,,,,,,,,,,,,,,,,,
"Census Tract 1522.01, Cuyahoga County, Ohio",661,30,449,174,8,2503,73,352,921,550,266,284,57,2078,341,25826,0,24861,21754,34886,45481,39,035,152201,3829,2122,475,363,1284,302,3042,428,673,745,379,513,173,56,75,,,,,,,,,,,,,,,,,,,,
"Census Tract 1522.02, Cuyahoga County, Ohio",415,138,159,88,30,2681,74,162,792,941,231,329,152,2445,481,34170,0,32213,31000,58597,43317,39,035,152202,3961,1944,523,452,969,193,3039,826,329,385,466,512,303,69,149,,,,,,,,,,,,,,,,,,,,
"Census Tract 1523.01, Cuyahoga County, Ohio",383,0,186,171,26,1536,5,107,335,631,79,280,99,1424,379,36453,0,25559,35217,43180,69886,39,035,152301,2172,1246,136,203,907,140,1797,241,141,367,345,391,202,34,76,,,,,,,,,,,,,,,,,,,,
"Census Tract 1523.02, Cuyahoga County, Ohio",259,23,130,67,39,2947,26,112,1011,666,287,702,143,2809,845,42858,14120,32964,42923,57681,48795,39,035,152302,4100,1640,505,637,498,282,2967,305,300,387,407,720,624,61,163,,,,,,,,,,,,,,,,,,,,
"Census Tract 3106, Geauga County, Ohio",351,91,74,110,76,4704,84,209,1307,917,362,1255,570,4411,1825,46641,87500,38220,42443,43158,76781,39,055,310600,6194,2386,647,1108,631,524,4706,708,444,671,371,657,657,305,893,,,,,,,,,,,,,,,,,,,,
"Census Tract 3107, Geauga County, Ohio",358,63,88,123,84,2938,72,110,734,654,197,856,315,2756,1171,49894,24525,40664,41705,80227,81750,39,055,310700,4077,1771,455,830,486,211,3232,274,144,503,522,547,261,149,832,,,,,,,,,,,,,,,,,,,,
"Census Tract 3108, Geauga County, Ohio",489,76,150,165,98,4780,74,179,932,1121,272,1413,789,4527,2202,64987,30698,59063,50000,72500,76528,39,055,310800,6640,2353,780,1094,479,356,5228,797,353,642,619,567,408,256,1586,,,,,,,,,,,,,,,,,,,,
"Census Tract 3109, Geauga County, Ohio",406,101,193,90,22,2216,103,105,806,502,203,315,182,2008,497,37500,24205,25208,33603,61332,103839,39,055,310900,3209,1274,284,612,378,473,2268,346,255,386,295,283,269,47,387,,,,,,,,,,,,,,,,,,,,
"Census Tract 3110, Geauga County, Ohio",656,258,285,113,0,1986,561,145,761,265,74,113,67,1280,180,40949,43092,32347,55242,51141,62250,39,055,311000,3651,1022,363,447,212,442,2364,513,212,432,284,367,263,125,168,,,,,,,,,,,,,,,,,,,,
"Census Tract 3113, Geauga County, Ohio",461,155,121,128,57,2923,297,113,1081,486,175,588,183,2513,771,41582,49063,27212,34261,61042,85375,39,055,311300,4435,1652,475,661,516,321,3206,646,337,460,383,479,374,151,376,,,,,,,,,,,,,,,,,,,,
"Census Tract 3114, Geauga County, Ohio",268,18,152,41,57,4228,36,189,1353,950,318,984,398,4003,1382,45710,0,44052,37500,68594,81360,39,055,311400,5537,2332,559,1071,702,344,4476,576,314,550,432,931,585,196,892,,,,,,,,,,,,,,,,,,,,
"Census Tract 3115, Geauga County, Ohio",321,29,94,142,56,3952,30,318,928,815,329,915,617,3604,1532,42727,0,25541,43553,54375,108056,39,055,311500,5336,2211,642,969,600,298,4175,629,363,428,570,763,240,222,960,,,,,,,,,,,,,,,,,,,,
"Census Tract 3116, Geauga County, Ohio",219,46,74,15,84,2702,5,0,255,396,110,1265,671,2697,1936,60375,0,43558,48750,62344,71964,39,055,311600,3761,1381,427,761,193,266,2822,314,166,377,228,259,323,197,958,,,,,,,,,,,,,,,,,,,,
"Census Tract 3117, Geauga County, Ohio",238,44,86,33,75,3056,10,53,312,411,152,1328,790,2993,2118,70238,0,0,46750,77143,123558,39,055,311700,4471,1861,643,687,531,412,3078,491,131,247,197,427,196,98,1291,,,,,,,,,,,,,,,,,,,,
"Census Tract 3118, Geauga County, Ohio",405,34,154,181,36,5007,33,52,877,737,249,1729,1330,4922,3059,63305,0,44063,51526,71518,79196,39,055,311800,6965,2758,828,1176,754,604,5226,571,265,799,524,483,641,341,1602,,,,,,,,,,,,,,,,,,,,
"Census Tract 3119, Geauga County, Ohio",231,42,67,107,15,4726,0,132,935,1019,435,1403,802,4594,2205,54639,49359,42708,61210,62436,101346,39,055,311900,6496,2373,721,1318,334,660,4812,645,286,699,324,502,570,362,1424,,,,,,,,,,,,,,,,,,,,
"Census Tract 3120, Geauga County, Ohio",162,64,36,38,24,1964,291,76,669,259,165,329,175,1597,504,44491,46875,44063,42955,40385,98958,39,055,312000,2825,1081,280,512,289,256,1958,213,171,301,252,331,257,157,276,,,,,,,,,,,,,,,,,,,,
"Census Tract 3121, Geauga County, Ohio",564,354,107,62,41,1958,931,43,397,121,116,223,127,984,350,42332,42257,30595,53125,51290,0,39,055,312100,4142,983,460,390,133,549,2232,444,148,441,378,225,266,84,246,,,,,,,,,,,,,,,,,,,,
"Census Tract 3122.01, Geauga County, Ohio",573,64,109,368,32,3737,136,129,1002,998,288,669,515,3472,1184,47253,0,36699,44623,54609,89886,39,055,312201,5478,2197,712,812,673,302,4185,781,299,736,345,624,403,193,804,,,,,,,,,,,,,,,,,,,,
"Census Tract 3122.02, Geauga County, Ohio",331,36,134,107,54,2829,14,0,786,551,394,770,314,2815,1084,53889,0,43750,39464,63906,73750,39,055,312202,4303,1522,493,643,386,446,2961,432,140,335,423,357,334,102,838,,,,,,,,,,,,,,,,,,,,
"Census Tract 3122.03, Geauga County, Ohio",508,38,123,301,46,3310,51,124,954,890,367,566,358,3135,924,45259,26400,33125,43625,59063,72604,39,055,312203,4716,1812,391,975,446,234,3730,523,331,578,505,502,380,133,778,,,,,,,,,,,,,,,,,,,,
"Census Tract 3123, Geauga County, Ohio",584,268,202,114,0,2979,701,82,989,394,158,479,176,2196,655,37672,41750,22250,50885,38220,61076,39,055,312300,4605,1833,517,518,798,448,3295,460,350,492,655,533,455,153,197,,,,,,,,,,,,,,,,,,,,
"Census Tract 3124, Geauga County, Ohio",416,294,55,59,8,1296,529,88,294,178,31,121,55,679,176,45660,38346,51083,49167,63261,85313,39,055,312400,2583,722,321,229,172,369,1533,277,155,171,231,319,158,98,124,,,,,,,,,,,,,,,,,,,,
"Census Tract 2001.01, Greene County, Ohio",473,4,102,288,79,1643,66,140,533,415,107,198,184,1437,382,33581,4063,34417,32794,32778,45000,39,057,200101,2617,1196,312,343,541,203,1955,192,226,628,287,280,119,52,171,,,,,,,,,,,,,,,,,,,,
"Census Tract 2001.03, Greene County, Ohio",393,3,67,243,80,2527,89,112,562,457,225,699,383,2326,1082,42198,33194,24375,37500,55600,70545,39,057,200103,3674,1807,464,437,906,209,2781,304,171,665,331,319,313,193,485,,,,,,,,,,,,,,,,,,,,
"Census Tract 2001.04, Greene County, Ohio",4073,70,436,3035,532,1983,9,72,240,718,358,373,213,1902,586,28577,0,41719,24602,32721,47083,39,057,200104,6228,2018,126,500,1392,761,5371,2962,567,492,577,367,170,74,162,,,,,,,,,,,,,,,,,,,,
"Census Tract 2003, Greene County, Ohio",245,5,98,121,21,2710,57,256,808,812,395,239,143,2397,382,35451,0,33000,34219,39018,57313,39,057,200300,3857,1621,463,475,683,278,2853,463,284,458,421,516,379,97,235,,,,,,,,,,,,,,,,,,,,
"Census Tract 2004, Greene County, Ohio",123,9,65,41,8,1804,24,235,619,347,232,239,108,1545,347,33347,43906,26500,32823,34130,0,39,057,200400,2259,1080,206,362,512,316,1619,330,217,289,286,216,98,51,132,,,,,,,,,,,,,,,,,,,,
"Census Tract 2005, Greene County, Ohio",295,20,141,118,16,3258,164,235,1025,860,484,282,208,2859,490,28980,11875,28175,31311,45250,42193,39,057,200500,4672,1910,674,628,608,445,3399,680,387,633,645,381,464,56,153,,,,,,,,,,,,,,,,,,,,
"Census Tract 2006, Greene County, Ohio",259,40,58,141,20,2850,74,104,768,658,392,534,320,2672,854,39905,38456,38672,39596,45493,78571,39,057,200600,3954,1586,565,543,478,255,2969,523,286,412,289,553,269,271,366,,,,,,,,,,,,,,,,,,,,
"Census Tract 2007, Greene County, Ohio",513,14,240,193,66,2581,116,386,1137,404,81,329,128,2079,457,29481,0,32970,26250,32147,0,39,057,200700,4062,1804,562,292,950,252,2903,758,377,587,525,385,196,12,63,,,,,,,,,,,,,,,,,,,,
"Census Tract 2009.01, Greene County, Ohio",339,0,36,197,106,2483,0,18,330,438,300,682,715,2465,1397,52181,0,0,36319,74243,65174,39,057,200901,3418,1723,404,438,881,215,2704,189,73,241,380,553,318,241,709,,,,,,,,,,,,,,,,,,,,
"Census Tract 2009.02, Greene County, Ohio",274,12,69,171,22,2750,66,71,439,563,331,732,548,2613,1280,38710,0,27888,34927,41080,73913,39,057,200902,3288,1465,167,749,549,124,2939,448,159,272,373,477,361,90,759,,,,,,,,,,,,,,,,,,,,
"Census Tract 2101.01, Greene County, Ohio",589,25,83,244,237,2446,22,98,200,432,99,909,686,2326,1595,65819,29327,78906,50411,57019,89850,39,057,210101,3444,1823,355,509,959,199,2928,358,142,186,393,457,328,211,853,,,,,,,,,,,,,,,,,,,,
"Census Tract 2101.02, Greene County, Ohio",121,0,94,27,0,1525,32,47,230,355,66,318,477,1446,795,55766,0,24552,36589,65260,75758,39,057,210102,2231,922,350,235,337,300,1504,168,152,166,39,260,290,24,405,,,,,,,,,,,,,,,,,,,,
"Census Tract 2102.01, Greene County, Ohio",250,22,46,146,36,3483,96,83,467,853,299,711,974,3304,1685,58935,0,38717,45552,52328,71781,39,057,210201,4903,1906,602,806,498,376,3497,327,186,448,367,481,400,399,889,,,,,,,,,,,,,,,,,,,,
"Census Tract 2102.02, Greene County, Ohio",86,15,22,35,14,2660,22,9,651,376,384,670,548,2629,1218,51016,0,24699,45435,48672,92031,39,057,210202,3512,1314,446,620,248,463,2483,346,163,386,248,213,292,124,711,,,,,,,,,,,,,,,,,,,,
"Census Tract 2103, Greene County, Ohio",232,27,48,130,27,2705,12,19,573,561,402,575,563,2674,1138,53532,0,52417,46250,57688,87361,39,057,210300,3722,1464,410,728,326,224,2824,426,156,253,183,487,466,170,683,39.0,57.0,210300.0,39057210300.0,Census Tract 2103,G5020,S,9455402.0,5964.0,39.7180734,-84.0774071,057_210300,57_210300,,57_210300,Greene County,"Census Tract 2103, Greene County, Ohio",1.0,39.721263,-84.07826
"Census Tract 2104.01, Greene County, Ohio",469,173,26,164,106,3553,29,48,710,822,240,866,838,3476,1704,50959,0,48306,45464,47344,91417,39,057,210401,5277,1987,644,619,724,384,3841,782,175,353,319,638,427,240,907,39.0,57.0,210401.0,39057210401.0,Census Tract 2104.01,G5020,S,4796735.0,4564.0,39.6894539,-84.0882379,057_210401,57_210401,,57_210401,Greene County,"Census Tract 2104.01, Greene County, Ohio",1.0,39.68893,-84.088018
"Census Tract 2104.02, Greene County, Ohio",272,33,18,135,86,3528,5,152,621,796,374,922,658,3371,1580,59268,0,43220,45313,76813,90485,39,057,210402,4636,2002,489,974,539,316,3738,712,263,364,335,372,494,125,1073,39.0,57.0,210402.0,39057210402.0,Census Tract 2104.02,G5020,S,6958232.0,5794.0,39.704359,-84.085089,057_210402,57_210402,,57_210402,Greene County,"Census Tract 2104.02, Greene County, Ohio",1.0,39.704526,-84.08632
"Census Tract 3102, Geauga County, Ohio",74,5,41,16,12,1566,29,25,610,336,208,211,147,1512,358,40922,0,30875,41917,54844,61268,39,055,310200,2044,873,241,304,328,140,1598,157,71,200,265,283,280,123,219,,,,,,,,,,,,,,,,,,,,
"Census Tract 2105, Greene County, Ohio",308,26,106,128,48,4258,21,18,575,678,458,1093,1415,4219,2508,79131,0,56271,51422,59918,107157,39,057,210500,5877,2127,702,1033,392,558,4403,700,191,380,359,380,419,326,1648,,,,,,,,,,,,,,,,,,,,
"Census Tract 2106.02, Greene County, Ohio",215,55,17,89,54,3773,0,31,600,899,365,1101,777,3742,1878,51491,0,36875,39208,65729,73438,39,057,210602,5293,2127,680,963,484,275,3835,568,158,343,298,583,486,254,1145,,,,,,,,,,,,,,,,,,,,
"Census Tract 2106.03, Greene County, Ohio",308,44,20,202,42,4369,65,42,356,606,430,1145,1725,4262,2870,77917,0,39541,40865,68947,119269,39,057,210603,7107,2264,1213,827,224,775,4170,835,90,252,162,364,416,243,1808,,,,,,,,,,,,,,,,,,,,
"Census Tract 2106.04, Greene County, Ohio",495,0,27,213,255,4072,35,16,515,782,209,1344,1171,4021,2515,62549,0,57115,20960,64422,84191,39,057,210604,5748,2600,603,912,1085,647,4096,608,149,446,276,543,484,174,1416,,,,,,,,,,,,,,,,,,,,
"Census Tract 2106.05, Greene County, Ohio",95,15,40,40,0,2356,34,53,508,404,221,415,721,2269,1136,60437,0,31838,62083,54976,80945,39,057,210605,3024,1188,291,685,212,329,2231,255,73,224,199,312,281,161,726,,,,,,,,,,,,,,,,,,,,
"Census Tract 2201.01, Greene County, Ohio",121,9,43,54,15,2390,0,108,379,337,67,759,740,2282,1499,70072,24423,48021,39125,57963,132941,39,057,220101,3565,1211,551,497,163,442,2296,323,110,269,71,377,134,135,877,,,,,,,,,,,,,,,,,,,,
"Census Tract 2201.02, Greene County, Ohio",664,12,123,491,38,3246,0,35,365,665,256,820,1105,3211,1925,79945,0,54813,75453,84615,101094,39,057,220102,4903,1770,508,907,355,212,3853,435,284,318,451,335,200,224,1606,,,,,,,,,,,,,,,,,,,,
"Census Tract 2202.01, Greene County, Ohio",154,67,20,53,14,2686,46,98,380,342,367,803,650,2542,1453,56701,0,0,46475,74216,79058,39,057,220201,3757,1455,534,568,353,233,2711,253,258,238,170,263,407,230,892,39.0,57.0,220201.0,39057220201.0,Census Tract 2202.01,G5020,S,5574164.0,35905.0,39.646612,-84.0960685,057_220201,57_220201,,57_220201,Greene County,"Census Tract 2202.01, Greene County, Ohio",1.0,39.647796,-84.096652
"Census Tract 2202.02, Greene County, Ohio",186,7,23,139,17,3016,14,21,510,782,163,857,669,2981,1526,53250,0,40826,43750,55769,79028,39,057,220202,3894,1699,418,685,596,254,3048,270,249,460,243,489,322,111,904,39.0,57.0,220202.0,39057220202.0,Census Tract 2202.02,G5020,S,10558463.0,52321.0,39.6238293,-84.093266,057_220202,57_220202,,57_220202,Greene County,"Census Tract 2202.02, Greene County, Ohio",1.0,39.622749,-84.091352
"Census Tract 2301, Greene County, Ohio",131,3,68,30,30,2156,25,42,652,797,96,354,190,2089,544,47250,31042,41045,43182,51364,76111,39,057,230100,2652,896,178,421,297,213,2188,583,206,206,189,336,276,96,296,,,,,,,,,,,,,,,,,,,,
"Census Tract 82.07, Lucas County, Ohio",223,0,21,156,46,1415,87,51,360,142,143,335,297,1277,632,53779,0,50568,33918,63482,54115,39,095,008207,1990,759,248,207,304,199,1505,271,252,165,245,94,227,36,215,,,,,,,,,,,,,,,,,,,,
"Census Tract 82.08, Lucas County, Ohio",99,20,19,60,0,2149,13,54,260,184,186,733,719,2082,1452,40847,0,39063,0,70673,41815,39,095,008208,2785,1120,277,620,223,250,2159,184,177,372,152,491,177,49,557,,,,,,,,,,,,,,,,,,,,
